1	94	0.820723
2	1	0.071741
3	122	0.898085
4	1	0.030450
5	220	1.413163
6	0	0.009640
7	0	0.008950
8	49	0.487848
9	0	0.010120
10	3	0.013720
11	2	0.036221
12	3	0.047211
13	1	0.021020
14	7	0.064601
15	45	0.395937
16	170	0.640340
17	0	0.010160
18	3	0.045691
19	1	0.027220
20	31752	83.963626
21	255	1.602865
22	399	2.092573
23	2	0.035260
24	14	0.145672
25	0	0.012760
26	0	0.012420
27	3	0.040221
28	10813	22.853838
29	13	0.122352
30	15	0.109262
31	675	3.497815
32	0	0.017520
33	2006	6.908299
34	37	0.279154
35	23	0.167323
36	1	0.021650
37	28550	48.954817
38	0	0.019390
39	1	0.027670
40	0	0.013431
41	0	0.013670
42	33769	77.007317
43	1172	4.684653
44	116	0.593659
45	54	0.343885
46	8	0.056281
47	0	0.014721
48	53	0.303044
49	0	0.010351
50	0	0.013290
51	0	0.012160
52	0	0.007190
53	0	0.009571
54	19744	32.454518
55	3	0.036971
56	7	0.067841
57	1	0.021801
58	5	0.049380
59	145	0.898094
60	1	0.025510
61	0	0.012450
62	1	0.021831
63	121	0.773412
64	43	0.309025
65	107	0.550059
66	4	0.044120
67	32	0.218574
68	0	0.011770
69	29689	86.592317
70	0	0.022951
71	2189	2.021061
72	27	0.075512
73	1000000	1254.444484
74	0	0.024430
75	1	0.037481
76	0	0.016250
77	2351	9.667812
78	6	0.082671
79	1017	4.281657
80	1	0.033410
81	0	0.013000
82	5801	14.886813
83	90	0.610520
84	0	0.012780
85	5	0.054191
86	0	0.013210
87	1135	4.946468
88	118	0.739261
89	0	0.013771
90	92	0.504408
91	4	0.050930
92	1	0.024070
93	0	0.005980
94	0	0.011740
95	659	2.347027
96	0	0.005970
97	8	0.077502
98	16	0.120022
99	0	0.009380
100	1	0.022990
101	705	3.462364
102	3	0.030670
103	1	0.022141
104	56	0.348085
105	0	0.013610
106	0	0.012381
107	12	0.066811
108	759	3.391793
109	0	0.008040
110	169	0.726442
111	1	0.021260
112	0	0.011390
113	8664	10.893791
114	620	1.591005
115	2	0.023051
116	0	0.010650
117	0	0.007660
118	5	0.048391
