1	94	0.821315
2	1	0.072852
3	122	0.874806
4	1	0.030191
5	220	1.428527
6	0	0.009260
7	0	0.011550
8	49	0.479849
9	0	0.008630
10	3	0.013741
11	2	0.037450
12	3	0.047531
13	1	0.022521
14	7	0.062881
15	45	0.380557
16	170	0.646822
17	0	0.008630
18	3	0.042830
19	1	0.025341
20	31752	84.022333
21	255	1.594150
22	399	2.076769
23	2	0.033410
24	14	0.147672
25	0	0.012031
26	0	0.013350
27	3	0.040401
28	10813	22.754940
29	13	0.119602
30	15	0.113632
31	675	3.477164
32	0	0.017420
33	2006	6.887177
34	37	0.273555
35	23	0.168043
36	1	0.025270
37	28550	48.939985
38	0	0.021541
39	1	0.029600
40	0	0.015141
41	0	0.014810
42	33769	77.192526
43	1172	4.678747
44	116	0.588491
45	54	0.345356
46	8	0.056751
47	0	0.014900
48	53	0.306456
49	0	0.009790
50	0	0.012400
51	0	0.012510
52	0	0.007420
53	0	0.009340
54	19744	32.325167
55	3	0.035140
56	7	0.069792
57	1	0.020280
58	5	0.046151
59	145	0.879756
60	1	0.022671
61	0	0.011520
62	1	0.022151
63	121	0.780234
64	43	0.284775
65	107	0.516119
66	4	0.044921
67	32	0.212364
68	0	0.012330
69	29689	86.503659
70	0	0.023340
71	2189	2.014787
72	27	0.077342
73	1000000	1239.751736
74	0	0.024050
75	1	0.034191
76	0	0.016860
77	2351	9.680369
78	6	0.087381
79	1017	4.226318
80	1	0.033560
81	0	0.013111
82	5801	14.778163
83	90	0.600901
84	0	0.013870
85	5	0.057971
86	0	0.011170
87	1135	4.950032
88	118	0.741433
89	0	0.013550
90	92	0.497549
91	4	0.051641
92	1	0.024261
93	0	0.006310
94	0	0.012290
95	659	2.342163
96	0	0.006120
97	8	0.077221
98	16	0.117782
99	0	0.009981
100	1	0.021770
101	705	3.427564
102	3	0.030710
103	1	0.021571
104	56	0.334046
105	0	0.013830
106	0	0.012880
107	12	0.068891
108	759	3.408703
109	0	0.009980
110	169	0.725584
111	1	0.020400
112	0	0.012331
113	8664	11.036844
114	620	1.618510
115	2	0.018890
116	0	0.010890
117	0	0.007091
118	5	0.048421
119	16	0.123072
120	10638	37.897210
121	3	0.040511
122	46	0.177813
123	54	0.364527
124	0	0.012920
125	2	0.030270
126	0	0.008790
127	0	0.012391
128	1	0.021740
129	0	0.011350
130	6	0.060872
131	0	0.011450
132	20	0.047271
133	0	0.007880
134	94	0.586921
135	0	0.014580
136	9	0.084212
137	51	0.317406
138	1	0.020920
139	1	0.018131
140	3	0.039391
141	0	0.012390
142	0	0.008960
143	1	0.021401
144	463	1.751292
145	331	1.687621
146	4	0.043731
147	0	0.008970
148	0	0.013711
149	2977	12.450010
150	6266	21.328324
151	0	0.012450
152	3	0.042671
153	26	0.172283
154	57	0.376716
155	38	0.261654
156	1	0.021461
157	7730	18.491681
158	144	0.634651
159	8	0.078402
160	821	3.583276
161	1	0.024151
