1	94	0.829213
2	1	0.073681
3	122	0.889184
4	1	0.029230
5	220	1.421232
6	0	0.011730
7	0	0.011311
8	49	0.482357
9	0	0.009300
10	3	0.012691
11	2	0.035670
12	3	0.045731
13	1	0.022410
14	7	0.063301
15	45	0.381806
16	170	0.630060
17	0	0.009840
18	3	0.044851
19	1	0.027751
20	31752	83.658947
21	255	1.585125
22	399	2.069451
23	2	0.028681
24	14	0.148412
25	0	0.012200
26	0	0.013591
27	3	0.040960
28	10813	22.791848
29	13	0.112091
30	15	0.110902
31	675	3.458533
32	0	0.012950
33	2006	6.902295
34	37	0.274994
35	23	0.175663
36	1	0.023870
37	28550	48.706064
38	0	0.016750
39	1	0.026731
40	0	0.052891
41	0	0.018170
42	33769	77.095107
43	1172	4.690901
44	116	0.586529
45	54	0.346355
46	8	0.056661
47	0	0.014880
48	53	0.311245
49	0	0.009360
50	0	0.012821
51	0	0.011020
52	0	0.006780
53	0	0.010060
54	19744	32.332584
55	3	0.032910
56	7	0.069091
57	1	0.021080
58	5	0.050061
59	145	0.888173
60	1	0.024700
61	0	0.010730
62	1	0.023301
63	121	0.771442
64	43	0.285094
65	107	0.519208
66	4	0.042931
67	32	0.217073
68	0	0.010980
69	29689	86.213617
70	0	0.024220
71	2189	2.012670
72	27	0.076551
73	1000000	1255.267055
74	0	0.024580
75	1	0.036461
76	0	0.017790
77	2351	9.794030
78	6	0.081352
79	1017	4.336506
80	1	0.033581
81	0	0.011610
82	5801	14.903808
83	90	0.608809
84	0	0.014430
85	5	0.055740
86	0	0.012761
87	1135	4.997466
88	118	0.745771
89	0	0.014350
90	92	0.510098
91	4	0.049470
92	1	0.022130
93	0	0.006230
94	0	0.011690
95	659	2.355566
96	0	0.006141
97	8	0.077691
98	16	0.117502
99	0	0.010360
100	1	0.020820
101	705	3.476283
102	3	0.031091
103	1	0.022020
104	56	0.340206
105	0	0.013110
106	0	0.011710
107	12	0.066881
108	759	3.435153
109	0	0.009290
110	169	0.742251
111	1	0.020811
112	0	0.012680
113	8664	10.930897
114	620	1.600565
115	2	0.022990
116	0	0.010320
117	0	0.008290
118	5	0.048380
119	16	0.122372
120	10638	37.611994
121	3	0.040700
122	46	0.174703
123	54	0.361706
124	0	0.011350
125	2	0.028980
126	0	0.010650
127	0	0.012890
128	1	0.023490
129	0	0.011240
130	6	0.060371
131	0	0.011361
132	20	0.048580
133	0	0.007660
134	94	0.863113
135	0	0.027570
136	9	0.122432
137	51	0.414457
138	1	0.026460
139	1	0.021090
140	3	0.046250
141	0	0.013190
142	0	0.010020
143	1	0.024330
144	463	1.845298
145	331	1.698676
146	4	0.047410
147	0	0.011511
148	0	0.014090
149	2977	12.513211
150	6266	21.360296
151	0	0.014671
152	3	0.044980
153	26	0.175703
154	57	0.374146
155	38	0.266004
156	1	0.022960
157	7730	18.510092
158	144	0.642620
159	8	0.078841
160	821	3.597855
