query_id	result_count	time_ms	status	error_type
1	94	69.445	200	
2	1	32.815	200	
3	122	45.139	200	
4	1	23.330	200	
5	220	9.500	200	
6	0	34.311	200	
7	0	41.756	200	
8	49	12.188	200	
9	0	13.632	200	
10	3	51.516	200	
11	2	23.909	200	
12	3	25.042	200	
13	1	37.346	200	
14	7	52.490	200	
15	45	27.461	200	
16	170	40.378	200	
17	0	59.004	200	
18	3	25.715	200	
19	1	27.573	200	
20	31752	22.356	200	
21	255	18.650	200	
22	399	20.658	200	
23	2	30.285	200	
24	14	16.722	200	
25	0	31.104	200	
26	0	8.866	200	
27	3	34.549	200	
28	10813	14.606	200	
29	13	15.739	200	
30	15	12.673	200	
31	675	24.592	200	
32	0	43.392	200	
33	2006	7.234	200	
34	37	25.268	200	
35	23	27.078	200	
36	1	38.567	200	
37	28550	5.266	200	
38	0	29.720	200	
39	1	46.124	200	
40	0	5.870	200	
41	0	5.047	200	
42	33769	15.241	200	
43	1172	42.790	200	
44	116	3.864	200	
45	54	22.690	200	
46	8	20.625	200	
47	0	26.084	200	
48	53	8.646	200	
49	0	31.942	200	
50	0	10.901	200	
51	0	23.029	200	
52	0	12.902	200	
53	0	26.256	200	
54	19744	20.712	200	
55	3	30.707	200	
56	7	13.262	200	
57	1	15.079	200	
58	5	9.259	200	
59	145	38.930	200	
60	1	9.834	200	
61	0	13.959	200	
62	1	25.530	200	
63	121	16.149	200	
64	43	7.752	200	
65	107	18.185	200	
66	4	4.758	200	
67	32	14.172	200	
68	0	11.661	200	
69	29689	35.493	200	
70	0	9.630	200	
71	2189	13.964	200	
72	27	9.197	200	
73	1000000	155.770	200	
74	0	30.364	200	
75	1	8.872	200	
76	0	17.464	200	
77	2351	19.197	200	
78	6	4.552	200	
79	1017	20.501	200	
80	1	25.783	200	
81	0	26.288	200	
82	5801	16.208	200	
83	90	29.442	200	
84	0	0.506	200	
85	5	16.864	200	
86	0	4.914	200	
87	1135	19.042	200	
88	118	23.997	200	
89	0	12.056	200	
90	92	25.239	200	
91	4	15.560	200	
92	1	11.492	200	
93	0	45.341	200	
94	0	26.919	200	
95	659	50.163	200	
96	0	16.365	200	
97	8	12.779	200	
98	16	13.615	200	
99	0	42.415	200	
100	1	10.781	200	
101	705	24.334	200	
102	3	26.332	200	
103	1	13.051	200	
104	56	23.210	200	
105	0	15.626	200	
106	0	21.229	200	
107	12	22.437	200	
108	759	14.385	200	
109	0	25.149	200	
110	169	10.100	200	
111	1	43.048	200	
112	0	12.793	200	
113	8664	9.418	200	
114	620	26.626	200	
115	2	34.588	200	
116	0	28.776	200	
117	0	2.691	200	
118	5	0.241	200	
119	16	21.482	200	
120	10638	20.928	200	
121	3	18.905	200	
122	46	14.334	200	
123	54	15.512	200	
124	0	6.684	200	
125	2	10.963	200	
126	0	15.821	200	
127	0	12.029	200	
128	1	23.840	200	
129	0	18.048	200	
130	6	22.401	200	
131	0	30.509	200	
132	20	0.879	200	
133	0	12.138	200	
134	94	35.094	200	
135	0	24.145	200	
136	9	37.401	200	
137	51	25.439	200	
138	1	40.843	200	
139	1	34.246	200	
140	3	14.120	200	
141	0	24.979	200	
142	0	11.054	200	
143	1	27.541	200	
144	463	20.555	200	
145	331	29.293	200	
146	4	19.738	200	
147	0	17.788	200	
148	0	44.994	200	
149	2977	14.403	200	
150	6266	17.038	200	
151	0	32.362	200	
152	3	21.734	200	
153	26	22.385	200	
154	57	19.400	200	
155	38	13.558	200	
156	1	6.700	200	
157	7730	7.083	200	
158	144	9.856	200	
159	8	12.257	200	
160	821	7.882	200	
161	1	25.764	200	
162	46	17.553	200	
163	0	32.860	200	
164	8	45.038	200	
165	44	23.775	200	
166	0	22.236	200	
167	0	18.758	200	
168	1	32.332	200	
169	1941	37.090	200	
170	127	37.813	200	
171	53	37.572	200	
172	1082	9.562	200	
173	2310	38.529	200	
174	1	25.069	200	
175	0	29.034	200	
176	365	13.515	200	
177	92	11.139	200	
178	4	17.662	200	
179	524	6.834	200	
180	0	37.266	200	
181	19185	19.695	200	
182	1092	12.914	200	
183	46992	35.964	200	
184	5	9.513	200	
185	0	11.841	200	
186	35	24.827	200	
187	112	24.223	200	
188	17858	38.207	200	
189	19	35.583	200	
190	344	34.405	200	
191	22	22.285	200	
192	3	19.950	200	
193	0	13.611	200	
194	0	9.675	200	
195	1	18.838	200	
196	10	28.091	200	
197	1	39.886	200	
198	54112	23.825	200	
199	4	7.180	200	
200	0	33.953	200	
201	3	24.937	200	
202	1	33.726	200	
203	1224	13.119	200	
204	1	44.176	200	
205	1	21.652	200	
206	1	17.034	200	
207	0	29.705	200	
208	0	26.537	200	
209	3	3.670	200	
210	428	14.708	200	
211	2	44.947	200	
212	27	27.995	200	
213	99	146.331	200	
214	20	13.273	200	
215	52	47.415	200	
216	15	10.215	200	
217	181	7.789	200	
218	6	64.828	200	
219	2	51.094	200	
220	6	56.634	200	
221	2	45.232	200	
222	64	46.506	200	
223	4	50.261	200	
224	4	8.933	200	
225	7	52.417	200	
226	3	41.827	200	
227	37	74.504	200	
228	3	57.476	200	
229	5	29.655	200	
230	47	11.652	200	
231	8	66.299	200	
232	47	11.649	200	
233	77	59.262	200	
234	4	36.933	200	
235	15	63.553	200	
236	230	40.545	200	
237	134	37.585	200	
238	1	38.744	200	
239	22	13.915	200	
240	2	39.182	200	
241	46	11.559	200	
242	19	48.129	200	
243	14	21.553	200	
244	154	8.386	200	
245	3	54.154	200	
246	5	29.994	200	
247	31	8.571	200	
248	19	12.233	200	
249	3	40.599	200	
250	5	42.322	200	
251	51	7.795	200	
252	2	70.015	200	
253	36	16.260	200	
254	9	40.878	200	
255	6	40.683	200	
256	48	6.052	200	
257	4	16.974	200	
258	719	11.182	200	
259	71	33.825	200	
260	46	39.472	200	
261	12	13.758	200	
262	3	36.715	200	
263	54	8.169	200	
264	3	35.315	200	
265	4	39.664	200	
266	6	47.031	200	
267	3	50.493	200	
268	16	34.625	200	
269	34	14.195	200	
270	20	69.219	200	
271	7	48.088	200	
272	115	10.746	200	
273	20	3.643	200	
274	233	0.366	200	
275	2	19.058	200	
276	2	29.539	200	
277	143	8.227	200	
278	5	28.250	200	
279	135	15.470	200	
280	3	35.665	200	
281	9	41.916	200	
282	207	6.833	200	
283	37	40.286	200	
284	2	42.788	200	
285	12	19.884	200	
286	28	0.467	200	
287	4	42.928	200	
288	3	33.389	200	
289	9	35.969	200	
290	11	16.547	200	
291	20	55.660	200	
292	4	32.270	200	
293	131	5.888	200	
294	2	21.824	200	
295	213	12.898	200	
296	21	51.759	200	
297	4	48.419	200	
298	4	48.944	200	
299	41	11.397	200	
300	20	7.938	200	
301	1	19.884	200	
302	12	43.844	200	
303	39	65.588	200	
304	116	6.669	200	
305	3	40.582	200	
306	2	36.914	200	
307	49	9.020	200	
308	7	34.987	200	
309	173	43.923	200	
310	11	10.448	200	
311	11	49.537	200	
312	7	39.851	200	
313	12	34.417	200	
314	28	41.952	200	
315	5	38.863	200	
316	234	9.563	200	
317	27	35.485	200	
318	11	25.256	200	
319	18	58.568	200	
320	2	42.078	200	
321	4	31.826	200	
322	13	47.276	200	
323	3	40.642	200	
324	33	15.095	200	
325	19	5.352	200	
326	41	45.772	200	
327	5	28.787	200	
328	3	18.548	200	
329	7	47.400	200	
330	33	6.350	200	
331	47	42.593	200	
332	27	17.293	200	
333	13	40.055	200	
334	6	36.905	200	
335	37	16.475	200	
336	6	12.641	200	
337	140	18.238	200	
338	96	5.076	200	
339	53	0.406	200	
340	12	39.441	200	
341	119	31.995	200	
342	3	35.158	200	
343	20	36.369	200	
344	2393	24.671	200	
345	84	46.558	200	
346	7	23.818	200	
347	175	28.144	200	
348	2	25.942	200	
349	28	34.274	200	
350	4	32.258	200	
351	766	38.514	200	
352	53	19.930	200	
353	18	23.705	200	
354	2	47.900	200	
355	5	31.755	200	
356	7	15.252	200	
357	32	0.424	200	
358	37	25.216	200	
359	7	45.707	200	
360	85	15.154	200	
361	298	14.878	200	
362	60	22.995	200	
363	3	36.259	200	
364	705	27.633	200	
365	1	34.186	200	
366	104	35.786	200	
367	187	42.296	200	
368	22	15.411	200	
369	20698	34.997	200	
370	29	17.383	200	
371	5	24.942	200	
372	48	47.735	200	
