1	NC	4347.397731
2	NC	172.606354
3	NC	5819.250927
4	NC	202.201809
5	NC	7528.062467
6	NC	121.117449
7	NC	113.528295
8	NC	2509.473282
9	NC	75.810838
10	NC	110.490420
11	NC	215.710983
12	NC	288.707319
13	NC	148.528632
14	NC	440.107003
15	NC	2436.492817
16	NC	5550.490388
17	NC	85.330661
18	NC	272.325521
19	NC	514.264809
20	NC	371614.106892
21	NC	11912.027641
22	NC	13131.890985
23	NC	127.175716
24	NC	702.008193
25	NC	57.138955
26	NC	64.258101
27	NC	225.288695
28	NC	108889.959735
29	NC	678.194478
30	NC	652.792157
31	NC	24525.909180
32	NC	72.885479
33	NC	51866.952376
34	NC	1926.095771
35	NC	804.205756
36	NC	104.809841
37	NC	154354.190740
38	NC	123.910522
39	NC	132.902978
40	NC	49.513057
41	NC	77.167318
42	NC	298314.789012
43	NC	31222.861736
44	NC	2274.847110
45	NC	2163.112104
46	NC	259.245958
47	NC	111.193514
48	NC	1779.887347
49	NC	35.110438
50	NC	99.815299
51	NC	35.353731
52	NC	81.443429
53	NC	82.931025
54	NC	107081.009460
55	NC	347.523789
56	NC	298.880200
57	NC	197.988217
58	NC	218.269714
59	NC	1200.991306
60	NC	204.630811
61	NC	45.045148
62	NC	80.918522
63	NC	2431.730182
64	NC	1428.656071
65	NC	1477.167163
66	NC	210.193714
67	NC	1179.530065
68	NC	277.602103
69	NC	330403.556461
70	NC	76.410544
71	NC	3285.462242
72	NC	567.322441
73	NC	601144.704510
74	NC	86.043502
75	NC	112.090474
76	NC	48.005127
77	NC	65758.587696
78	NC	167.187211
79	NC	18851.221512
80	NC	91.305434
81	NC	75.763474
82	NC	38924.697936
83	NC	1410.299217
84	NC	7.677644
85	NC	219.961584
86	NC	256.053115
87	NC	22187.159852
88	NC	2690.529797
89	NC	38.674384
90	NC	2344.036280
91	NC	120.479495
92	NC	63.435784
93	NC	22.489693
94	NC	218.050411
95	NC	11862.262019
96	NC	7.168625
97	NC	236.948274
98	NC	392.544385
99	NC	53.962740
100	NC	64.512921
101	NC	12649.461796
102	NC	260.797726
103	NC	164.392095
104	NC	1846.709130
105	NC	59.212635
106	NC	153.171946
107	NC	262.133587
108	NC	10267.152554
109	NC	43.331401
110	NC	3105.368389
