42;1000;30808383
49;1000;10515772
50;1000;25337454
52;1000;26291521
54;1000;10067458
61;1000;18812899
68;28;29327828
70;1000;26236662
76;1000;15182849
77;1000;8779780
87;1000;14094655
89;1000;15220076
91;23;6139235
94;1000;8938960
95;1000;12578590
96;1000;34091628
98;1000;74678596
99;1000;6667861
105;1000;25093108
106;1000;18320965
107;1000;19944375
108;1000;7248608
113;1000;31299784
116;1000;20933254
121;1000;21200100
122;0;2002094506
125;606;41791232
126;1000;45041217
132;0;220939220
134;1000;22980881
135;585;33862875
138;322;27421726
140;50;79439893
141;1000;3560463
143;1000;16398725
144;62;49656998
145;1000;18028326
146;1000;11046041
147;1000;28028784
148;1000;22880286
151;1000;7021393
155;1000;13050990
165;1000;14920943
166;1000;13563907
167;1000;19823354
168;1000;16169419
169;1000;16766415
174;1000;13462828
175;1000;4545152
178;1000;13915941
179;1000;3539127
180;1000;18103101
181;1000;17369723
182;1000;25815661
186;1000;10207941
187;1000;10126007
190;118;54877858
191;1000;40544225
193;1000;46553358
196;1000;1964265
198;1000;15219529
200;1000;17975886
201;296;129982084
202;1000;9067714
204;1000;44144157
205;1000;5907613
206;1000;9132347
207;1000;6149539
208;1000;30520614
214;1000;6598239
216;1000;7546893
217;1000;39913246
219;1000;5547259
220;1000;14545634
221;1000;15400634
223;18;4696104647
225;1000;19363968
227;86;115533096
228;12;5480224
229;1000;10901752
231;1000;16576568
233;1000;32121991
235;1000;15358814
238;1000;38666479
240;1000;4035663
241;1000;8477420
242;1000;8618408
243;1000;18295281
244;1000;22877902
245;78;59070561
246;1000;8322928
247;1000;41277050
248;1000;23889395
251;1000;9931670
253;1000;9591555
254;1000;22948315
256;201;5675415
257;1000;31760621
258;432;8135991
260;1000;16978609
261;171;13414153
262;1000;16080253
263;1000;21802906
269;1000;18020493
270;1000;6882600
273;257;36986974
275;1000;3442783
276;5;5493372551
277;1000;23408052
279;1000;4866007
280;1000;13513977
282;0;3336872
283;1000;4036592
284;1000;9531717
285;1000;13351033
286;340;41723502
287;202;21520906
288;1000;5331341
289;1000;13954594
290;1000;108036184
293;1000;9033423
294;1000;20772275
295;1000;28415892
297;1000;17355332
299;0;89832
300;1000;10250561
301;1000;21305747
302;29;9090059
304;1000;8655557
305;0;795167707
306;1000;22775196
308;1000;9477633
309;330;13287883
310;1000;22949303
312;1000;12579169
313;68;4092811
314;38;2765506
315;1000;15321887
316;1000;8143647
317;1000;6378181
318;1000;5491961
321;1000;16243108
326;1000;14266311
328;362;21484778
329;1000;23204042
330;0;5681265
331;1000;28479433
335;1000;10026012
337;1000;12184895
338;1000;13213559
339;1000;6473729
340;1000;7141331
342;1000;3421512
343;1000;7645010
344;1000;10642689
345;1000;7486957
346;1000;5478461
347;1000;6293784
348;1000;9209383
349;1000;15506711
350;1000;23234403
351;1000;2177475
352;1000;8262685
353;1000;19173441
354;1000;3791325
355;1000;6933410
356;1000;12328743
357;1000;11936667
358;1000;14318054
