0;1000;248000000;176000000
1;1000;19760000000;16988000000
2;1000;36000000;28000000
3;1000;652000000;472000000
4;1000;19480000000;18540000000
5;57;36860000000;35460000000
6;1000;768000000;728000000
7;1000;1892000000;1732000000
8;1000;2752000000;2508000000
9;1000;40000000;36000000
10;1000;1088000000;1012000000
11;1000;168000000;164000000
12;1000;14796000000;14640000000
13;57;42916000000;41928000000
14;1000;56000000;48000000
15;1000;148000000;80000000
16;1000;2032000000;1888000000
17;1000;20000000;20000000
18;1000;1052000000;992000000
19;1000;4100000000;4000000000
20;0;256000000;188000000
21;1000;28000000;24000000
22;1000;185356000000;182084000000
23;1000;112000000;64000000
24;1000;100000000;60000000
25;1000;64000000;44000000
26;1000;76000000;56000000
27;1000;32000000;20000000
28;1000;40000000;40000000
29;1000;0;0
30;1000;604000000;480000000
31;1000;3316000000;3144000000
32;1000;32000000;28000000
33;1000;44000000;40000000
34;1000;144000000;104000000
35;1000;152000000;112000000
36;183;522140000000;513896000000
37;1000;308000000;256000000
38;1000;68000000;44000000
39;1000;48000000;44000000
40;1000;140000000;120000000
41;1000;100000000;84000000
43;1000;384000000;332000000
44;8;1644000000;1604000000
45;1000;240000000;168000000
46;229;1704000000;1684000000
47;0;12000000;8000000
48;71;2044000000;2036000000
51;1000;132000000;120000000
53;1000;92000000;80000000
55;1000;164000000;124000000
56;1000;516000000;480000000
57;0;2280000000;2240000000
58;83;1608000000;1608000000
59;79;1616000000;1612000000
60;1000;72000000;68000000
62;95;56000000;44000000
63;1000;12000000;12000000
64;1000;148000000;124000000
65;1000;92000000;76000000
66;0;56000000;44000000
67;0;44000000;36000000
69;20;104000000;104000000
71;1000;100000000;80000000
72;1000;888000000;832000000
73;1000;796000000;784000000
74;1000;200000000;172000000
75;1000;56000000;52000000
78;1000;68000000;64000000
79;1000;8000000;8000000
80;1000;96000000;76000000
81;1000;80000000;76000000
82;1000;36000000;36000000
83;25;16000000;16000000
84;187;600760000000;592788000000
85;389;600756000000;592204000000
86;614;600764000000;592728000000
88;1000;256000000;164000000
90;1000;168000000;112000000
92;1000;636000000;488000000
93;1000;400000000;400000000
97;1000;40000000;40000000
100;1000;104000000;76000000
101;1000;328000000;232000000
102;1000;112000000;88000000
103;1000;208000000;200000000
104;41;72000000;64000000
109;0;0;0
110;1000;144000000;128000000
111;1000;140000000;140000000
112;1000;36000000;24000000
114;1000;176000000;168000000
115;1000;132000000;128000000
117;1000;864000000;864000000
118;0;0;0
119;0;0;0
120;1000;8000000;8000000
123;1000;56000000;56000000
124;1000;48000000;44000000
127;1000;104000000;88000000
128;1000;36000000;36000000
129;1000;552000000;540000000
130;1000;88000000;56000000
131;605;44000000;44000000
133;1000;184000000;172000000
136;1;36000000;36000000
137;1;44000000;36000000
139;1000;120000000;104000000
142;1000;4000000;4000000
149;1000;108000000;108000000
150;99;132000000;116000000
152;1000;100000000;84000000
153;1000;168000000;164000000
154;1000;64000000;60000000
156;365;12000000;12000000
157;1000;8000000;8000000
158;1000;936000000;936000000
159;1000;936000000;928000000
160;1000;988000000;972000000
161;1000;864000000;852000000
162;922;1432000000;1428000000
163;1000;48000000;48000000
164;1000;28000000;20000000
170;1000;80000000;80000000
171;1000;92000000;88000000
172;1000;56000000;48000000
173;1000;24000000;16000000
176;1000;44000000;44000000
177;1000;524000000;484000000
183;1000;32000000;28000000
184;1000;28000000;28000000
185;1000;28000000;20000000
188;1000;92000000;84000000
189;0;151008000000;147812000000
192;1000;112000000;92000000
194;0;464000000;408000000
195;1000;16000000;16000000
197;1000;496000000;376000000
199;1000;56000000;44000000
203;1000;176000000;156000000
209;1000;108000000;100000000
210;1000;32000000;28000000
211;1000;236000000;228000000
212;1000;64000000;48000000
213;1000;248000000;248000000
215;0;0;0
218;1000;20000000;20000000
222;1000;68000000;64000000
224;1000;92000000;72000000
226;1000;48000000;28000000
230;1000;20000000;20000000
232;18;8000000;8000000
234;1000;24000000;24000000
236;1000;552000000;544000000
237;1000;4000000;4000000
239;57;4000000;0
249;1000;120000000;104000000
250;1000;24000000;24000000
252;1000;84000000;84000000
255;1000;184000000;164000000
259;1000;20000000;20000000
264;1000;84000000;84000000
265;1000;672000000;672000000
266;1000;64000000;56000000
267;1000;36000000;36000000
268;1000;28000000;28000000
271;0;0;0
272;1000;56000000;56000000
274;1000;68000000;64000000
278;617;20000000;20000000
281;1000;212000000;208000000
291;1000;32000000;32000000
292;1000;92000000;92000000
296;1000;88000000;76000000
298;1000;152000000;144000000
303;1000;36000000;36000000
307;1000;80000000;80000000
311;1000;12000000;8000000
319;1000;84000000;80000000
320;1000;44000000;44000000
322;1000;76000000;72000000
323;703;688000000;672000000
324;697;520000000;516000000
325;1000;268000000;236000000
327;1000;56000000;48000000
332;1000;36000000;32000000
333;1000;12000000;8000000
334;267;24916000000;24588000000
336;1000;180000000;108000000
341;1000;224000000;220000000
397;1000;116000000;88000000
447;0;608000000;516000000
493;6;4000000;0
592;54;2524000000;2432000000
688;1000;68000000;60000000
